sku|name|description|price|body_zone|skin_type|fullness|sexe|ethnicity|photo
1|Huile d'Argan 100 ml|"Cette huile de beauté sèche et fine aux propriétés hydratantes et protectrices sublimera votre corps dont votre visage. Extrêmement nourrissante et tonifiante, elle convient à toutes les peaux."|19|Visage|Peau sèche|Jeune|masculine|hispanic, latino, or spanish origin|https://res.cloudinary.com/stan0612/image/upload/v1544431793/huile.png
2|Sérum peau sèche|Assemblage d'huiles végétales naturelles aux propriétées hydratantes incroyable, ce sérum aidera les peaux sèches en l'hydratant en profondeur et son parfum neutre permettra une application autant pour les hommes que pour les femmes.|19.90|Visage|Peau sèche|Jeune|masculine|hispanic, latino, or spanish origin|https://res.cloudinary.com/stan0612/image/upload/v1544431793/huile.png
3|Lait corporel à Argan 200 ml|Association d'huiles végétales nobles qui confère à ce lait une capacité hydratante et régénérant de l'épiderme, Sa structure fluide et fine pénètre très rapidement l'épiderme et laisse un film protecteur non gras. Idale pour tonifié vos mains et votre corps.|22.90|Visage|Peau sèche|Jeune|masculine|hispanic, latino, or spanish origin|https://res.cloudinary.com/stan0612/image/upload/v1544431794/petite_creme.png
4|Huile d'Argan 100 ml|"Cette huile de beauté sèche et  fine aux propriétés hydratantes et protectrices sublimera votre corps. Extrêmement nourrissante et tonifiante, elle convient à toutes les peaux, sèche à mature."|19.90|Visage|Peau normale|Jeune|masculine|hispanic, latino, or spanish origin|https://res.cloudinary.com/stan0612/image/upload/v1544431793/huile.png
5|Huile de Jojoba 100ml|Huile sébo-régulatrice par excellence, l’huile de jojoba, grâce à sa texture sèche, est également celle qui se rapproche le plus du sébum humain. De ce fait, elle renforce efficacement le film hydrolipidique de la peau et régule la production de sébum qui est fréquente sur les peaux grasses.|16.90|Visage|Peau grasse|Jeune|masculine|hispanic, latino, or spanish origin|https://res.cloudinary.com/stan0612/image/upload/v1544431793/huile.png
6|Beurre de Karité pot de 100 ml|Ce beurre de karité naturel ni raffiné, ni blanchi nourrira et hydratera les peaux sèches, normales, matures. Un trésor naturel. Notre beurre de karité s'utilise sur toutes les parties du corps, dont les mains et le visage.|11.90|Corps|Peau sèche|Jeune|masculine|hispanic, latino, or spanish origin|https://res.cloudinary.com/stan0612/image/upload/v1544431793/pot_creme.png
7|Baume Karité ambré 125 ml|Ce beurre de karité naturel ni raffiné, ni blanchi nourrira et hydratera les peaux sèches, normales, matures. Un trésor naturel. Notre beurre de karitié s'utilise sur toutes les parties du corps, dont les mains et le visage. Un parfum ambre délicat est parfaitement adapté pour une utilisation masculine.|19.90|Corps|Peau sèche|Jeune|masculine|hispanic, latino, or spanish origin|https://res.cloudinary.com/stan0612/image/upload/v1544431793/pot_creme.png
8|Lait corporel Argan 200 ml|Association d'huiles végétales nobles qui confére à ce lait une capacité hydratante et régénérant de l'épiderme, Sa structure fluide et fine pénètre très rapidement l'épiderme et laisse un film protecteur non gras. Idale pour tonifier vos mains et votre corps.|22.90|Visage|Peau séche|Jeune|masculine|hispanic, latino, or spanish origin|https://res.cloudinary.com/stan0612/image/upload/v1544431794/petite_creme.png
9|Huile de Nigelle 100 ml|L'huile de nigelle est adaptée pour une routine purifiante grâce a ses propriétées Immunostimulante, anti-inflammatoire, anti-infectieuse, antioxydante et cicatrisante. Elle sera une alliée pour votre corps et particulièrement vos mains pour vous aider à lutter contre les méfaits du froid. Elle s'utilise également tout le long de l'année.|12.90|Mains|Sèche|Jeune|masculine|hispanic, latino, or spanish origin|https://res.cloudinary.com/stan0612/image/upload/v1544431793/huile.png
10|Lait corporel Argan 200 ml|Association d'huiles végétales nobles qui confére à ce lait une capacité hydratante et régénérant de l'épiderme, Sa structure fluide et fine pénètre très rapidement l'épiderme et laisse un film protecteur non gras. Idéale pour tonifier vos mains et votre corps.|22.90|Mains|Peau sèche|Jeune|masculine|hispanic, latino, or spanish origin|https://res.cloudinary.com/stan0612/image/upload/v1544431794/petite_creme.png
11|Merveilleuse Barbarie Argan 50ml|Huile merveilleuse L'Eveil du désert concentre les bienfaits de l'huile d'argan et l'incroyable huile de pépins de figues de barbarie très riches en acides gras essentiels (oméga 6 et 9), en vitamine E et en delta-7-stigmastérol, actifs aux mille vertus du monde végétal, font de cette huile merveilleuse un véritable concentré antioxydant qui préserve au mieux la jeunesse de la peau. Cette huile va permettre de nourrir votre peau, de la protéger et la préserver des radicaux libres. La peau sera protégée,revitalisée et votre visage retrouvera son éclat.|39.90|Visage|Peau mature|Vieux|feminine|white|https://res.cloudinary.com/stan0612/image/upload/v1544431793/huile.png
12|Crème anti-âge Q10 - Argan 30ml|Crème composée d'huiles végétales naturelles, de beurre de karité, d'acide hyaluronique (obtenu par biosynthese), de Coenzyme Q10 qui va détoxifier la peau. Cette crème est particulièrement adaptée aux peaux matures et aux peaux sèches.|39.90|Visage|Peau mature|Vieux|feminine|white|https://res.cloudinary.com/stan0612/image/upload/v1544431793/pot_creme.png
13|Crème anti-âge Barbarie 30ml|"Produit onctueux aux actifs hydratants, réparateur du fait de la présence bienfaitrice de nombreuses huiles précieuses, nourrissant pour la peau et restructurant grâce a la synergie des éléments silicium, acide hyaluronique et collagène.Crème de soin pour le visage, à appliquer matin midi et soir."|39.90|Visage|Peau mature|Vieux|feminine|white|https://res.cloudinary.com/stan0612/image/upload/v1544431793/pot_creme.png
14|Crème à l'Immortelle 30ml|Produit onctueux hydratant, du fait de la présence bienfaitrice de nombreuses huiles végétales y compris huile essentielles, nourrissant pour la peau et restructurant grâce à la synergie des éléments silicium, acide hyaluronique et collagène. Elle s'applique autant sur le visage que sur le corps.|39.90|Visage|Peau mature|Vieux|feminine|white|https://res.cloudinary.com/stan0612/image/upload/v1544431793/pot_creme.png
15|Huile de Figues de Barbarie 30 ml|"Cette huile de beauté légère et précieuse aux propriétés anti-âge s’utilise idéalement en soin du visage pour plus de fermeté et de tonicité !Elle convient à tous les  types de peaux, particulièrement recommandée pour les peaux sèches et matures."|49.90|Visage|Peau mature|Vieux|feminine|white|https://res.cloudinary.com/stan0612/image/upload/v1544431793/huile.png
16|Baume L'Or 125ml|Notre baume Or composé exclusivement de beurre de karité et d'huile de pépins de figues de barbarie nourrira en profondeur, hydratera votre peau. Cette alliance unique entre le beurre de karité et l'huile de pépins de figues de barbarie regénèrera toutes les zones de votre corps. Elle s'applique efficacement sur le corps  en massant la zone souhaitée. Elle convient particulièrement à une peau sèche et aux peaux matures.|24.90|Corps|Peau mature|Vieux|feminine|white|https://res.cloudinary.com/stan0612/image/upload/v1544431793/pot_creme.png
17|Crème à l'Immortelle 30ml|Produit onctueux hydratant, du fait de la présence bienfaitrice de nombreuses huiles végétales y compris huile essentielles, nourrissante pour la peau et restructurante grâce à la synergie des éléments silicium, acide hyaluronique et collagène. Elle s'applique autant sur le visage que sur le corps.|39.90|Corps|Peau mature|Vieux|feminine|white|https://res.cloudinary.com/stan0612/image/upload/v1544431793/pot_creme.png
18|Lait corporel Argan 200 ml|Association d'huiles végétales nobles qui confère à ce lait une capacité hydratante et régénérante de l'épiderme, Sa structure fluide et fine pénètre très rapidement l'épiderme et laisse un film protecteur non gras. Idéale pour tonifier vos mains et votre corps.|22.90|Corps|Peau mature|Vieux|feminine|white|https://res.cloudinary.com/stan0612/image/upload/v1544431794/petite_creme.png
19|Huile de Ricin 100 ml|L'huile de ricin issue de l'agriculture tunisienne participera à la protection de votre peau et, est particulièrement recommandée pour un usage capillaire et la protection de vos mains et vos pieds.|14.90|Mains|Peau mature|Vieux|feminine|white|https://res.cloudinary.com/stan0612/image/upload/v1544431793/huile.png
20|Lait corporel Argan 200 ml|Association d'huiles végétales nobles qui confére à ce lait une capacité hydratante et régénérante de l'épiderme, Sa structure fluide et fine pénètre très rapidement l'épiderme et laisse un film protecteur non gras. Idéale pour tonifier vos mains et votre corps.|22.90|Mains|Peau mature|Vieux|feminine|white|https://res.cloudinary.com/stan0612/image/upload/v1544431794/petite_creme.png
21|Huile de Fenugrec 100 ml|L'huile de fenugrec issue du bassin mediterranéen, est utilisée depuis des siècles par les femmes pour ses effets remodelant et rafermissant du buste sur l'ensemble des types de peaux.|19.90|Buste|Peau mature|Vieux|feminine|white|https://res.cloudinary.com/stan0612/image/upload/v1544431793/huile.png
22|Huile de Figues de Barbarie 30 ml|"Cette huile de beauté légère et précieuse aux propriétés anti-âge s’utilise idéalement en soin du visage pour plus de fermeté et de tonicité ! Elle convient à tous les types de peaux, particulièrement recommandée pour les peaux sèches et matures."|49.90|Visage|Peau sèche|Jeune|feminine|black or african american|https://res.cloudinary.com/stan0612/image/upload/v1544431793/huile.png
23|Huile d'Argan 100 ml|"Cette huile de beauté sèche et fine aux propriétés hydratantes et protectrices sublimera votre corps dont votre visage. Extrêmement nourrissante et tonifiante, elle convient à toutes les peaux."|19.90|Visage|Peau sèche|Jeune|feminine|black or african american|https://res.cloudinary.com/stan0612/image/upload/v1544431793/huile.png
24|Crème à l'Immortelle 30ml|Produit onctueux hydratant, du fait de la présence bienfaitrice de nombreuses huiles végétales y compris d'huiles essentielles, nourrissante pour la peau et restructurant grâce à la synergie des éléments silicium, acide hyaluronique et collagène. Elle s'applique autant sur le visage que sur le corps.|39.90|Visage|Peau sèche|Jeune|feminine|black or african american|https://res.cloudinary.com/stan0612/image/upload/v1544431793/pot_creme.png
25|Huile d'Argan 100 ml|"Cette huile de beauté sèche et  fine aux propriétés hydratantes et protectrices qui sublimera votre corps et votre visage.Extrêmement nourrissante et tonifiante, elle convient à toutes les peaux."|19.90|Visage|Peau normale|Jeune|feminine|black or african american|https://res.cloudinary.com/stan0612/image/upload/v1544431793/huile.png
26|Baume L'Or 125ml|Notre baume Or composé exclusivement de beurre de karité et d'huile de pépins de figues de barbarie nourrira en profondeur, hydratera votre peau. Cette alliance unique entre le beurre de karité et l'huile de pépins de figues de barbarie regénèrera toutes les zones de votre corps grâce aux effets émolients et réparateurs incomparable et de longue durée. Elle s'applique efficacement sur le corps en massant la zone souhaitée. Elle convient particulierement à une peau sèche et aux peaux matures.|24.90|Corps|Peau sèche|Jeune|feminine|black or african american|https://res.cloudinary.com/stan0612/image/upload/v1544431793/pot_creme.png
27|Baume Karité Orient 125 ml|"Harmonieux mélange d'huile de pépin de raisin, de sésame, d'argan associé à une fragrance fleur d'oranger et néroli. Baume anti-oxydant, anti-ride, cicatrisant, apaisant et hydratant pour les peaux sèches"|19.90|Corps|Peau sèche|Jeune|feminine|black or african american|https://res.cloudinary.com/stan0612/image/upload/v1544431793/pot_creme.png
28|Beurre de Karité pot de 100 ml|Ce beurre de karité naturel ni raffiné, ni blanchi nourrira et hydratera les peaux sèches, normales, matures. Un trésor naturel. Notre beurre de karité s'utilise sur toutes les parties du corps, dont les mains et le visage.|11.90|Corps|Peau sèche|Jeune|feminine|black or african american|https://res.cloudinary.com/stan0612/image/upload/v1544431793/pot_creme.png
29|Beurre de Karité pot de 100 ml|Ce beurre de karité naturel ni raffiné, ni blanchis nourrira et hydratera les peaux sèches, normales, matures. Un trésor naturel. Notre beurre de karité s'utilise sur toutes les parties du corps, dont les mains et le visage avec une touche parfumé avec une fragrance Jasmin|11.90|Corps|Peau normale|Jeune|feminine|black or african american|https://res.cloudinary.com/stan0612/image/upload/v1544431793/pot_creme.png
30|Baume Karité - Jasmin 125 ml|Ce beurre de karité naturel ni raffiné, ni blanchi nourrira et hydratera les peaux sèches, normales, matures. Un trésor naturel. Notre beurre de karité s'utilise sur toutes les parties du corps, dont les mains et le visage. Une note de jasmin viendra ajouter une subltile note d'orient.|19.90|Corps|Peau normale|Jeune|feminine|black or african american|https://res.cloudinary.com/stan0612/image/upload/v1544431793/pot_creme.png
31|Beurre de Coco 125 ml|"Ce beurre de coco anti-oxydant, anti ride, cicatrisant et réparateur vous séduira à son odeur identique à la noix de coco. Appliquer une noisette de ce beurre au creux de la main et appliquer sur le corps, le visage ou les mains"|13.90|Corps|Peau normale|Jeune|feminine|black or african american|https://res.cloudinary.com/stan0612/image/upload/v1544431793/pot_creme.png
32|Huile de Baobab 100 ml|L’huile végétale de Baobab est une alliée précieuse pour les peaux sèches, exposées au soleil. En plus de ses propriétés protectrices, elle redonnera toute son élasticité à votre peau. Elle protegera et revitalisera vos mains liées aux expositions solaire.|14.90|Mains|Peau sèche|Jeune|feminine|black or african american|https://res.cloudinary.com/stan0612/image/upload/v1544431793/huile.png
33|Beurre de Coco 125 ml|Ce beurre de coco anti-oxydant, anti ride, cicatrisant et réparateur vous séduira à son odeur identique à la noix de coco.|13.90|Mains|Peau sèche|Jeune|feminine|black or african american|https://res.cloudinary.com/stan0612/image/upload/v1544431793/pot_creme.png
34|Lait corporel Argan 200 ml|Association d'huiles végétales nobles qui confére à ce lait une capacité hydratante et régénérante de l'épiderme. Sa structure fluide et fine pénètre très rapidement l'épiderme et laisse un film protecteur non gras. Idéale pour tonifier vos mains et votre corps.|22.90|Mains|Peau sèche|Jeune|feminine|black or african american|https://res.cloudinary.com/stan0612/image/upload/v1544431794/petite_creme.png
35|Beurre de Karité pot de 100 ml|Appliquer une noisette de ce beurre au creux de la main et appliquer sur le corps, le visage ou les mains|11.90|Mains|Peau normale|Jeune|feminine|black or african american|https://res.cloudinary.com/stan0612/image/upload/v1544431793/pot_creme.png
36|Huile de Ricin 100 ml|L'huile de ricin issue de l'agriculture tunisienne participera à la protection de votre peau et, est particulièrement recommandée pour un usage capillaire et la protection de vos mains et vos pieds.|14.90|Mains|Peau normale|Jeune|feminine|black or african american|https://res.cloudinary.com/stan0612/image/upload/v1544431793/huile.png
37|Huile de Fenugrec 100 ml|L'huile de fenugrec issue du bassin mediterranéen, est utilisée depuis des siècles par les femmes pour ses effets remodelant, hydratant sur peau sèche et rafermissant du buste.|19.90|Buste|Peau normale|Jeune|feminine|black or african american|https://res.cloudinary.com/stan0612/image/upload/v1544431793/huile.png
38|Huile de Fenugrec 100 ml|L'huile de fenugrec issue du bassin mediterranéen, est utilisée depuis des siècles par les femmes pour ses effets remodelant, hydratant sur peau sèche et rafermissant du buste.|19.90|Buste|Peau sèche|Jeune|feminine|black or african american|https://res.cloudinary.com/stan0612/image/upload/v1544431793/huile.png
39|Baume Karité Orient 125 ml|Harmonieux mélange d'huile de pépin de raisin, de sésame, d'argan associé à une fragrance fleur d'oranger et néroli.Baume anti-oxydant, anti-ride, cicatrisant, apaisant et hydratant pour les peaux sèches|19.90|Buste|Peau sèche|Jeune|feminine|black or african american|https://res.cloudinary.com/stan0612/image/upload/v1544431793/pot_creme.png
40|Huile de Jojoba 100 ml|Huile sébo-régulatrice par excellence, l’huile de jojoba, grâce à sa texture sèche, est également celle qui se rapproche le plus du sébum humain. De ce fait, elle renforce efficacement le film hydrolipidique de la peau et régule la production de sébum qui est fréquente sur les peaux grasses.|16.90|Visage|Peau grasse|Jeune|feminine|white|https://res.cloudinary.com/stan0612/image/upload/v1544431793/huile.png
41|Crème de Ghassoul 125 ml|Crème de Ghassoul prêt à l'emploi. Appliquer sur le visage en masque ou sur une zone localisée. Laisser sécher le masque  5 minutes et rincer à l'eau froide. Votre peau sera détoxifiée et nettoyée. Eviter le contact avec les yeux et les muqueuses.|9.90|Visage|Peau grasse|Jeune|feminine|white|https://res.cloudinary.com/stan0612/image/upload/v1544431793/pot_creme.png
